Quantity,Manufacturer Part Number,Digi-Key Part Number,Description,Customer Reference
1,TSR 1-4850WI,,Traco buck 36V->5V 1A SIP-3 (9-72V in),U2
2,SN74AHCT541N,296-4755-5-ND,TI octal buffer TTL-in DIP-20,U1
10,MMBT2222A-7-F,,NPN SOT-23,Q1 Q2
5,SMBJ40A,,TVS 40V standoff SMB,D1
10,S1M-13-F,,Rectifier 1A 1000V SMA (flyback),D2
5,WP7113GD,,LED 5mm green,LED1
5,WP7113ID,,LED 5mm red,LED2
5,0466002.NR,F1457CT-ND,Fuse 2A 63V 1206,F1
20,RC0805FR-07100KL,,Res 100k 0805 1%,R10-R17 R41 R43
20,RC0805FR-0710KL,,Res 10k 0805 1%,R20-R24
20,RC0805FR-071KL,,Res 1k 0805 1%,R30-R34 R40 R42 R50 R51
20,RC0805FR-07100RL,,Res 100R 0805 1%,R60-R66
20,CL21B104KBCNNNC,,Cap 100nF 50V X7R 0805,C2 C4 C5 C20-C24
5,CL31B106KAHNNNE,,Cap 10uF 25V X7R 1206,C3
2,EEU-FC1H101,,Cap 100uF 50V electrolytic D8 P3.5,C1
3,PPTC221LFBN-RC,,Socket strip 1x22 2.54mm,A1 socket rows
1,ESP32-S3-DEVKITC-1-N8,,Espressif ESP32-S3 devkit (optional spare; verify row spacing),A1 spare
3,1715721,,Phoenix MKDS 1.5/2-5.08 terminal 2-pos,J1 J12
2,1715734,,Phoenix MKDS 1.5/3-5.08 terminal 3-pos,J10 spindle switch
2,G5LE-14 DC5,Z1011-ND,Omron relay SPDT 10A/250VAC 5V coil,RLY1
4,1715750,,Phoenix MKDS 1.5/5-5.08 terminal 5-pos,J2 J3 J4
8,22-23-2021,,Molex KK-254 header 2-pos friction lock,J5-J9 J11
10,22-01-3027,,Molex KK-254 housing 2-pos,cables
50,08-50-0114,,Molex KK-254 crimp terminal 2759 22-30AWG,cables
2,PRPC006DAAN-RC,,Pin header 2x6 2.54mm,J13 SD module
1,PRPC040SAAN-RC,,Pin header 1x40 breakaway 2.54 (cut 3 for JP1),JP1
5,SPC02SYAN,,Jumper shunt 2.54,JP1
